CLASSIFICATION,QF,RESOURCE_AGG_TYPE,PARENT_RESOURCE_ID,RESOURCE_ID,RESOURCE_TYPE,GEN_UNIT_NAME,NET_DEPENDABLE_CAPACITY,NAMEPLATE_CAPACITY,PTO_AREA,OWNER_OR_QF,UNIT_TYPE,ENERGY_SOURCE,ZONE,COD,RIVER_SYSTEM,BAA_ID,UDC
Participating Unit,N,N,,VESTAL_2_WELLHD,GEN,Wellhead Power Delano,49,49.5,SCE,"Delano Energy Center, LLC",COMBUSTION TURBINE,NATURAL GAS,SP15,2013-01-16,,CISO,SCE
Participating Unit,N,N,,REDOND_7_UNIT 6,GEN,REDONDO GEN STA. UNIT 6,175,175,SCE,AES Redondo Beach,STEAM,NATURAL GAS,SP15,1957-01-01,,CISO,SCE
Participating Unit,N,N,,USWND2_1_WIND1,GEN,Golden Hills A,42.96,43,PGAE,"Golden Hills Wind, LLC",WIND,WIND,NP15,2015-12-18,,CISO,PGAE
Participating Unit,N,N,,MTWIND_1_UNIT 2,GEN,Mountain View Power Project II,22.2,22.2,SCE,"Mountain View Power Partners, L.L.C.",WIND,WIND,SP15,2001-09-17,,CISO,SCE
Participating Unit,N,N,,DELAMO_2_SOLRD,GEN,Golden Solar Building D,1.25,1.4,SCE,Golden Springs Development Company LLC,PHOTO VOLTAIC,SUN,SP15,2012-04-02,,CISO,SCE
Participating Unit,N,Y,SCEW_2_PDRP103,SCEW_2_PDRP103,GEN,SCEW_2_PDRP103,0.99,,SCE,"OHMCONNECT, INC.",OTHER,OTHER,SP15,,,CISO,SCE
Participating Unit,N,N,,SLRMS3_2_SRMSR1,GEN,SILVER RIDGE MOUNT SIGNAL 3,250,250,SDGE,"IMPERIAL VALLEY SOLAR 3, LLC",PHOTO VOLTAIC,SUN,SP15,2018-10-09,,CISO,SDGE
Participating Unit,N,N,,KNTSTH_6_SOLAR,GEN,Kent South,20,20,PGAE,"RE Kent South, LLC",PHOTO VOLTAIC,SUN,NP15,2014-12-24,,CISO,PGAE
Participating Unit,N,Y,SCEW_2_PDRP102,SCEW_2_PDRP102,GEN,SCEW_2_PDRP102,0.99,,SCE,"OHMCONNECT, INC.",OTHER,OTHER,SP15,,,CISO,SCE
Non-Participating,,Y,CALGEN_1_UNITS,CALGEN_1_UNIT 3,GEN,CALGEN_1_UNIT 3,32.2,32.2,,,,,SP15,,,CISO,
Participating Unit,N,N,,MRGT_6_MEF2,GEN,Miramar Energy Facility II,44,67.5,SDGE,San Diego Gas & Electric,COMBUSTION TURBINE,NATURAL GAS,SP15,2009-08-07,,CISO,SDGE
Participating Unit,N,N,,EXCLSG_1_SOLAR,GEN,Excelsior Solar ,60,60,PGAE,Five Points Solar Park LLC,PHOTO VOLTAIC,SUN,NP15,2016-10-06,,CISO,PGAE
Participating Unit,N,N,,VALLEY_5_SOLAR2,GEN,AP North Lake Solar,20,20,SCE,SUNE DB APNL LLC,PHOTO VOLTAIC,SUN,SP15,2015-08-11,,CISO,SCE
Participating Unit,N,N,,ROSMND_6_SOLAR,GEN,Lancaster B,3,3,SCE,"Lancaster WAD B, LLC",PHOTO VOLTAIC,SUN,SP15,2017-04-22,,CISO,SCE
Non-Participating,N,Y,MOSSLD_2_PSP2,MOSSLD_2_PSP2G1,GEN,"MOSS LANDING CC PLANT 2, CTG UNIT 1",176,176,,Duke Energy Moss Landing LLC,COMBUSTION TURBINE,NATURAL GAS,NP15,,,CISO,
Participating Unit,N,N,,CSCGNR_1_UNIT 1,GEN,GIANERA PEAKER UNIT 1,24.75,24.8,PGAE,City of Santa Clara DBA Silicon Valley Power (MSS Agreement - S14)              ,COMBUSTION TURBINE,NATURAL GAS,NP15,1987-01-01,,CISO,NCPA
Participating Unit,N,N,,BOWMN_6_HYDRO,GEN,NID Hydro Bowman Powerhouse,3.6,3.6,PGAE,Nevada Irrigation District,HYDRO,WATER,NP15,2016-12-20,,CISO,PGAE
Participating Unit,N,N,,MONLTH_6_BOREL,GEN,BOREL HYDRO UNITS 1-3 AGGREGATE,11,12,SCE,Southern California Edison Company,HYDRO,WATER,SP15,1904-01-01,,CISO,SCE
Participating Unit,N,N,,TRNQLT_2_SOLAR,GEN,Tranquillity,200,200,PGAE,RE Tranquillity LLC,PHOTO VOLTAIC,SUN,NP15,2016-07-28,,CISO,PGAE
